Date,Time,Lat,Lon,Wind,Pressure
30-Aug,15:00 GMT,16.4,-30.3,50,1004
30-Aug,21:00 GMT,16.4,-31.2,60,1001
31-Aug,03:00 GMT,16.4,-32.2,65,999
31-Aug,09:00 GMT,16.5,-32.9,70,997
31-Aug,15:00 GMT,16.9,-33.8,100,979
31-Aug,21:00 GMT,17.3,-34.8,115,967
1-Sep,03:00 GMT,17.8,-35.6,115,967
1-Sep,09:00 GMT,18.2,-36.5,115,967
1-Sep,15:00 GMT,18.5,-37.8,110,972
1-Sep,21:00 GMT,18.8,-39.1,120,964
2-Sep,03:00 GMT,19.1,-40.5,115,967
2-Sep,09:00 GMT,19,-41.8,110,970
2-Sep,15:00 GMT,18.8,-43.3,110,973
2-Sep,21:00 GMT,18.5,-44.6,110,973
3-Sep,03:00 GMT,18.3,-46.2,110,973
3-Sep,09:00 GMT,18,-47.5,115,969
3-Sep,15:00 GMT,17.7,-48.4,115,969
3-Sep,21:00 GMT,17.6,-49.8,115,969
4-Sep,00:00 GMT,17.4,-50.3,115,959
4-Sep,03:00 GMT,17.2,-51,115,961
4-Sep,06:00 GMT,17,-51.5,115,961
4-Sep,09:00 GMT,16.9,-52.3,115,961
4-Sep,12:00 GMT,16.8,-52.6,120,947
4-Sep,15:00 GMT,16.8,-53.3,120,944
4-Sep,18:00 GMT,16.7,-53.8,120,944
4-Sep,21:00 GMT,16.7,-54.4,130,944
5-Sep,00:00 GMT,16.7,-55,140,943
5-Sep,03:00 GMT,16.7,-55.6,140,943
5-Sep,06:00 GMT,16.6,-56.4,145,939
5-Sep,09:00 GMT,16.6,-57,150,937
5-Sep,11:45 GMT,16.7,-57.7,175,929
5-Sep,12:00 GMT,16.7,-57.7,175,929
5-Sep,15:00 GMT,16.8,-58.4,180,931
5-Sep,18:00 GMT,16.9,-59.1,185,926
5-Sep,21:00 GMT,17.1,-59.8,185,926
6-Sep,00:00 GMT,17.2,-60.5,185,916
6-Sep,00:15 GMT,17.2,-60.5,185,916
6-Sep,03:00 GMT,17.4,-61.1,185,916
6-Sep,06:00 GMT,17.7,-61.8,185,914
6-Sep,09:00 GMT,17.9,-62.6,185,914
6-Sep,12:00 GMT,18.1,-63.3,185,918
6-Sep,15:00 GMT,18.2,-64,185,918
6-Sep,16:00 GMT,18.3,-64.2,185,922
6-Sep,17:00 GMT,18.4,-64.5,185,920
6-Sep,18:00 GMT,18.5,-64.7,185,920
6-Sep,19:00 GMT,18.6,-64.9,185,920
6-Sep,20:00 GMT,18.7,-65.1,185,920
6-Sep,21:00 GMT,18.8,-65.4,185,914
6-Sep,22:00 GMT,18.9,-65.6,185,914
6-Sep,23:00 GMT,19,-65.8,185,914
7-Sep,00:00 GMT,19.1,-66.1,185,914
7-Sep,01:00 GMT,19.2,-66.3,185,916
7-Sep,02:00 GMT,19.3,-66.6,185,916
7-Sep,03:00 GMT,19.4,-66.8,185,916
7-Sep,04:00 GMT,19.5,-67.1,185,918
7-Sep,05:00 GMT,19.6,-67.4,185,918
7-Sep,06:00 GMT,19.7,-67.7,180,921
7-Sep,07:00 GMT,19.7,-67.9,180,921
7-Sep,08:00 GMT,19.8,-68.1,180,921
7-Sep,09:00 GMT,20,-68.3,180,921
7-Sep,12:00 GMT,20.1,-69,180,921
7-Sep,15:00 GMT,20.4,-69.7,175,921
7-Sep,18:00 GMT,20.7,-70.4,175,922
7-Sep,21:00 GMT,20.9,-71.1,175,922
8-Sep,00:00 GMT,21.1,-71.8,175,919
8-Sep,03:00 GMT,21.3,-72.4,165,920
8-Sep,06:00 GMT,21.5,-73.3,160,925
8-Sep,09:00 GMT,21.7,-73.8,155,925
8-Sep,12:00 GMT,21.8,-74.7,150,927
8-Sep,15:00 GMT,22,-75.3,150,927
8-Sep,18:00 GMT,22,-76,155,925
8-Sep,21:00 GMT,22.1,-76.5,155,925
9-Sep,00:00 GMT,22.2,-77.2,155,924
9-Sep,03:00 GMT,22.1,-77.7,160,924
9-Sep,06:00 GMT,22.3,-78.2,160,930
9-Sep,09:00 GMT,22.5,-78.8,155,930
9-Sep,12:00 GMT,22.6,-79.6,130,937
9-Sep,15:00 GMT,22.8,-79.8,125,941
9-Sep,16:00 GMT,22.9,-79.9,125,941
9-Sep,17:00 GMT,23,-80,125,941
9-Sep,18:00 GMT,23.1,-80.2,125,941
9-Sep,19:00 GMT,23.1,-80.3,125,938
9-Sep,20:00 GMT,23.3,-80.4,125,938
9-Sep,21:00 GMT,23.4,-80.5,125,933
9-Sep,22:00 GMT,23.4,-80.7,125,933
9-Sep,23:00 GMT,23.4,-80.8,125,932
10-Sep,00:00 GMT,23.3,-80.8,120,932
